id,surface,priority,context_id,part_of_speech,part_of_speech_detail_1,part_of_speech_detail_2,part_of_speech_detail_3,inflectional_type,inflectional_form,stem,yomi,pronunciation,accent_type,mora_count,accent_associative_rule
2efe0494-95f1-4676-8904-80fe50ff5ebd,Ｄｅｎｏ,5,1348,名詞,固有名詞,一般,*,*,*,*,ディイノ,ディイノ,1,3,*
d4ef56c4-5f36-4455-beca-d239502a2f8a,ｊｉｇカレー,5,1348,名詞,固有名詞,一般,*,*,*,*,ジグカレエ,ジグカレエ,0,5,*
abb60797-ae9d-4b0f-a1f2-495a121c790f,辛さ,5,1348,名詞,固有名詞,一般,*,*,*,*,カラサ,カラサ,0,3,*
27ea39b7-cd07-4dca-a8e1-66be5d35db85,辛い,5,1348,名詞,固有名詞,一般,*,*,*,*,カライ,カライ,2,3,*
ba2b18b5-a2e0-419f-a03b-cc61ffea03cd,Ｊａｖａ,5,1348,名詞,固有名詞,一般,*,*,*,*,ジャバ,ジャバ,1,2,*
a2c4773b-b06f-4f1b-acfb-ad062d4ea2b8,ＪａｖａＳｃｒｉｐｔ,5,1348,名詞,固有名詞,一般,*,*,*,*,ジャバスクリプト,ジャバスクリプト,5,7,*
85ff43d3-3a0b-4c87-b30d-f6cd2f294918,ＫｉｄｓＶｅｎｔｕｒｅ,5,1348,名詞,固有名詞,一般,*,*,*,*,キッズベンチャア,キッズベンチャア,5,7,*
877fc0ad-45cd-4bd2-80fd-6f6440ea2540,ＩｃｈｉｇｏＪａｍ,5,1348,名詞,固有名詞,一般,*,*,*,*,イチゴジャム,イチゴジャム,3,5,*
49b865a7-710d-4b13-9243-a0782c04378a,Ｓｃｒａｔｃｈ,5,1348,名詞,固有名詞,一般,*,*,*,*,スクラッチ,スクラッチ,4,5,*
35bc70e7-5d65-458b-95b7-6b628a6a56b1,生配信,5,1348,名詞,固有名詞,一般,*,*,*,*,ナマハイシン,ナマハイシン,4,6,*
